dataset,protocol,n_runs,acc_min,acc_mean,acc_max,baseline,max_drop,mean_drop
bloodmnist,resize_bilateral,18,0.9035192728042604,0.9035192728042605,0.9035192728042604,0.9035192728042604,0.0,-1.1102230246251565e-16
bloodmnist,resize_bilateral_grayscale,16,0.9035192728042604,0.9035192728042604,0.9035192728042604,0.9035192728042604,0.0,0.0
bloodmnist,resize_bilateral_patch_shuffle,15,0.9035192728042604,0.9035192728042604,0.9035192728042604,0.9035192728042604,0.0,0.0
bloodmnist,resize_bilateral_patch_shuffle2,21,0.9035192728042604,0.9035192728042605,0.9035192728042604,0.9035192728042604,0.0,-1.1102230246251565e-16
bloodmnist,resize_channel_shuffle,3,0.9035192728042604,0.9035192728042604,0.9035192728042604,0.9035192728042604,0.0,0.0
bloodmnist,resize_gaussianblur2,20,0.9035192728042604,0.9035192728042605,0.9035192728042604,0.9035192728042604,0.0,-1.1102230246251565e-16
bloodmnist,resize_grayscale,15,0.9035192728042604,0.9035192728042604,0.9035192728042604,0.9035192728042604,0.0,0.0
bloodmnist,resize_nlmeans,15,0.9035192728042604,0.9035192728042604,0.9035192728042604,0.9035192728042604,0.0,0.0
bloodmnist,resize_no_suppression,3,0.9035192728042604,0.9035192728042604,0.9035192728042604,0.9035192728042604,0.0,0.0
bloodmnist,resize_patch_rotation,22,0.9035192728042604,0.9035192728042604,0.9035192728042604,0.9035192728042604,0.0,0.0
bloodmnist,resize_patch_shuffle,22,0.9035192728042604,0.9035192728042604,0.9035192728042604,0.9035192728042604,0.0,0.0
bloodmnist,resize_patch_shuffle_grayscale,23,0.9035192728042604,0.9035192728042604,0.9035192728042604,0.9035192728042604,0.0,0.0
bloodmnist,resize_wavelet_shape,3,0.125,0.125,0.125,0.9035192728042604,0.7785192728042604,0.7785192728042604
bloodmnist,resize_wavelet_texture,2,0.331364095211029,0.331364095211029,0.331364095211029,0.9035192728042604,0.5721551775932314,0.5721551775932314
caltech101,resize_bilateral,24,0.2401411980390548,0.2401411980390548,0.2401411980390548,0.2401411980390548,0.0,0.0
caltech101,resize_bilateral_grayscale,24,0.2401411980390548,0.2401411980390548,0.2401411980390548,0.2401411980390548,0.0,0.0
caltech101,resize_bilateral_patch_shuffle,24,0.2401411980390548,0.2401411980390548,0.2401411980390548,0.2401411980390548,0.0,0.0
caltech101,resize_bilateral_patch_shuffle2,32,0.2401411980390548,0.2401411980390548,0.2401411980390548,0.2401411980390548,0.0,0.0
caltech101,resize_channel_shuffle,4,0.2401411980390548,0.2401411980390548,0.2401411980390548,0.2401411980390548,0.0,0.0
caltech101,resize_gaussianblur2,28,0.2401411980390548,0.24014119803905482,0.2401411980390548,0.2401411980390548,0.0,-2.7755575615628914e-17
caltech101,resize_grayscale,20,0.2401411980390548,0.2401411980390548,0.2401411980390548,0.2401411980390548,0.0,0.0
caltech101,resize_nlmeans,20,0.2401411980390548,0.2401411980390548,0.2401411980390548,0.2401411980390548,0.0,0.0
caltech101,resize_no_suppression,4,0.2401411980390548,0.2401411980390548,0.2401411980390548,0.2401411980390548,0.0,0.0
caltech101,resize_patch_rotation,32,0.2401411980390548,0.2401411980390548,0.2401411980390548,0.2401411980390548,0.0,0.0
caltech101,resize_patch_shuffle,32,0.2401411980390548,0.2401411980390548,0.2401411980390548,0.2401411980390548,0.0,0.0
caltech101,resize_patch_shuffle_grayscale,32,0.2401411980390548,0.2401411980390548,0.2401411980390548,0.2401411980390548,0.0,0.0
caltech101,resize_wavelet_shape,3,0.0398501455783844,0.0398501455783844,0.0398501455783844,0.2401411980390548,0.2002910524606704,0.2002910524606704
caltech101,resize_wavelet_texture,3,0.0325593762099742,0.0325593762099742,0.0325593762099742,0.2401411980390548,0.20758182182908058,0.20758182182908058
flowers102,resize_bilateral,24,0.2539202868938446,0.2923820912837982,0.3052026927471161,0.3052026927471161,0.051282405853271484,0.012820601463317871
flowers102,resize_bilateral_grayscale,24,0.2539202868938446,0.2923820912837982,0.3052026927471161,0.3052026927471161,0.051282405853271484,0.012820601463317871
flowers102,resize_bilateral_patch_shuffle,24,0.2539202868938446,0.2923820912837982,0.3052026927471161,0.3052026927471161,0.051282405853271484,0.012820601463317871
flowers102,resize_bilateral_patch_shuffle2,32,0.2539202868938446,0.2923820912837982,0.3052026927471161,0.3052026927471161,0.051282405853271484,0.012820601463317871
flowers102,resize_channel_shuffle,4,0.2539202868938446,0.2923820912837982,0.3052026927471161,0.3052026927471161,0.051282405853271484,0.012820601463317871
flowers102,resize_gaussianblur2,28,0.2539202868938446,0.2923820912837982,0.3052026927471161,0.3052026927471161,0.051282405853271484,0.012820601463317871
flowers102,resize_grayscale,20,0.2539202868938446,0.2923820912837982,0.3052026927471161,0.3052026927471161,0.051282405853271484,0.012820601463317871
flowers102,resize_nlmeans,20,0.2539202868938446,0.2923820912837982,0.3052026927471161,0.3052026927471161,0.051282405853271484,0.012820601463317871
flowers102,resize_no_suppression,4,0.2539202868938446,0.2923820912837982,0.3052026927471161,0.3052026927471161,0.051282405853271484,0.012820601463317871
flowers102,resize_patch_rotation,32,0.2539202868938446,0.2923820912837982,0.3052026927471161,0.3052026927471161,0.051282405853271484,0.012820601463317871
flowers102,resize_patch_shuffle,32,0.2539202868938446,0.2923820912837982,0.3052026927471161,0.3052026927471161,0.051282405853271484,0.012820601463317871
flowers102,resize_patch_shuffle_grayscale,32,0.2539202868938446,0.2923820912837982,0.3052026927471161,0.3052026927471161,0.051282405853271484,0.012820601463317871
flowers102,resize_wavelet_shape,4,0.0131987910717725,0.016429950483143302,0.0175070036202669,0.3052026927471161,0.29200390167534357,0.28877274226397276
flowers102,resize_wavelet_texture,4,0.0953923910856247,0.09585427865386006,0.0972399413585662,0.3052026927471161,0.2098103016614914,0.20934841409325602
oxfordiiitpet,resize_bilateral,24,0.1460178196430206,0.1460178196430206,0.1460178196430206,0.1460178196430206,0.0,0.0
oxfordiiitpet,resize_bilateral_grayscale,24,0.1460178196430206,0.1460178196430206,0.1460178196430206,0.1460178196430206,0.0,0.0
oxfordiiitpet,resize_bilateral_patch_shuffle,24,0.1460178196430206,0.1460178196430206,0.1460178196430206,0.1460178196430206,0.0,0.0
oxfordiiitpet,resize_bilateral_patch_shuffle2,32,0.1460178196430206,0.1460178196430206,0.1460178196430206,0.1460178196430206,0.0,0.0
oxfordiiitpet,resize_channel_shuffle,4,0.1460178196430206,0.1460178196430206,0.1460178196430206,0.1460178196430206,0.0,0.0
oxfordiiitpet,resize_gaussianblur2,28,0.1460178196430206,0.1460178196430206,0.1460178196430206,0.1460178196430206,0.0,0.0
oxfordiiitpet,resize_grayscale,20,0.1460178196430206,0.1460178196430206,0.1460178196430206,0.1460178196430206,0.0,0.0
oxfordiiitpet,resize_nlmeans,20,0.1460178196430206,0.1460178196430206,0.1460178196430206,0.1460178196430206,0.0,0.0
oxfordiiitpet,resize_no_suppression,4,0.1460178196430206,0.1460178196430206,0.1460178196430206,0.1460178196430206,0.0,0.0
oxfordiiitpet,resize_patch_rotation,32,0.1460178196430206,0.1460178196430206,0.1460178196430206,0.1460178196430206,0.0,0.0
oxfordiiitpet,resize_patch_shuffle,32,0.1460178196430206,0.1460178196430206,0.1460178196430206,0.1460178196430206,0.0,0.0
oxfordiiitpet,resize_patch_shuffle_grayscale,32,0.1460178196430206,0.1460178196430206,0.1460178196430206,0.1460178196430206,0.0,0.0
oxfordiiitpet,resize_wavelet_shape,4,0.0273532606661319,0.0273532606661319,0.0273532606661319,0.1460178196430206,0.1186645589768887,0.1186645589768887
oxfordiiitpet,resize_wavelet_texture,4,0.0413666665554046,0.0413666665554046,0.0413666665554046,0.1460178196430206,0.104651153087616,0.104651153087616
rsd46whu,resize_bilateral,12,0.5538777112960815,0.5538777112960815,0.5538777112960815,0.5538777112960815,0.0,0.0
rsd46whu,resize_bilateral_grayscale,12,0.5538777112960815,0.5538777112960815,0.5538777112960815,0.5538777112960815,0.0,0.0
rsd46whu,resize_bilateral_patch_shuffle,12,0.5538777112960815,0.5538777112960815,0.5538777112960815,0.5538777112960815,0.0,0.0
rsd46whu,resize_bilateral_patch_shuffle2,16,0.5538777112960815,0.5538777112960815,0.5538777112960815,0.5538777112960815,0.0,0.0
rsd46whu,resize_channel_shuffle,2,0.5538777112960815,0.5538777112960815,0.5538777112960815,0.5538777112960815,0.0,0.0
rsd46whu,resize_gaussianblur2,14,0.5538777112960815,0.5538777112960815,0.5538777112960815,0.5538777112960815,0.0,0.0
rsd46whu,resize_grayscale,10,0.5538777112960815,0.5538777112960815,0.5538777112960815,0.5538777112960815,0.0,0.0
rsd46whu,resize_nlmeans,10,0.5538777112960815,0.5538777112960815,0.5538777112960815,0.5538777112960815,0.0,0.0
rsd46whu,resize_no_suppression,2,0.5538777112960815,0.5538777112960815,0.5538777112960815,0.5538777112960815,0.0,0.0
rsd46whu,resize_patch_rotation,16,0.5538777112960815,0.5538777112960815,0.5538777112960815,0.5538777112960815,0.0,0.0
rsd46whu,resize_patch_shuffle,16,0.5538777112960815,0.5538777112960815,0.5538777112960815,0.5538777112960815,0.0,0.0
rsd46whu,resize_patch_shuffle_grayscale,16,0.5538777112960815,0.5538777112960815,0.5538777112960815,0.5538777112960815,0.0,0.0
rsd46whu,resize_wavelet_shape,2,0.0900121256709098,0.0900121256709098,0.0900121256709098,0.5538777112960815,0.4638655856251718,0.4638655856251718
rsd46whu,resize_wavelet_texture,2,0.0514579340815544,0.0514579340815544,0.0514579340815544,0.5538777112960815,0.5024197772145271,0.5024197772145271
stl10,resize_bilateral,12,0.1791250109672546,0.1791250109672546,0.1791250109672546,0.1791250109672546,0.0,0.0
stl10,resize_bilateral_grayscale,12,0.1791250109672546,0.1791250109672546,0.1791250109672546,0.1791250109672546,0.0,0.0
stl10,resize_bilateral_patch_shuffle,12,0.1791250109672546,0.1791250109672546,0.1791250109672546,0.1791250109672546,0.0,0.0
stl10,resize_bilateral_patch_shuffle2,16,0.1791250109672546,0.1791250109672546,0.1791250109672546,0.1791250109672546,0.0,0.0
stl10,resize_channel_shuffle,2,0.1791250109672546,0.1791250109672546,0.1791250109672546,0.1791250109672546,0.0,0.0
stl10,resize_gaussianblur2,14,0.1791250109672546,0.1791250109672546,0.1791250109672546,0.1791250109672546,0.0,0.0
stl10,resize_grayscale,10,0.1791250109672546,0.1791250109672546,0.1791250109672546,0.1791250109672546,0.0,0.0
stl10,resize_nlmeans,10,0.1791250109672546,0.1791250109672546,0.1791250109672546,0.1791250109672546,0.0,0.0
stl10,resize_no_suppression,2,0.1791250109672546,0.1791250109672546,0.1791250109672546,0.1791250109672546,0.0,0.0
stl10,resize_patch_rotation,16,0.1791250109672546,0.1791250109672546,0.1791250109672546,0.1791250109672546,0.0,0.0
stl10,resize_patch_shuffle,16,0.1791250109672546,0.1791250109672546,0.1791250109672546,0.1791250109672546,0.0,0.0
stl10,resize_patch_shuffle_grayscale,16,0.1791250109672546,0.1791250109672546,0.1791250109672546,0.1791250109672546,0.0,0.0
